case,city,date,fatalities,injured,total_victims,location,age_of_shooter,prior_signs_mental_health_issues,weapons_obtained_legally,race,gender,latitude,longitude,type,year
Air Force base shooting,"Fairchild Air Force Base, Washington",1994-06-20,5,23.0,28.0,Military,20.0,True,True,White,Male,47.61864486,-117.6483587,Mass,1994
Chuck E. Cheese's killings,"Aurora, Colorado",1993-12-14,4,1.0,5.0,Workplace,19.0,,,Black,Male,39.675599,-104.844845,Mass,1993
Long Island Rail Road massacre,"Garden City, New York",1993-12-07,6,19.0,25.0,Other,35.0,True,True,Black,Male,40.7267682,-73.6342955,Spree,1993
Luigi's shooting,"Fayetteville, North Carolina",1993-08-06,4,8.0,12.0,Other,22.0,False,True,White,Male,35.0529931,-78.8787058,Mass,1993
101 California Street shootings,"San Francisco, California",1993-07-01,9,6.0,15.0,Other,55.0,False,False,White,Male,37.792968,-122.397973,Mass,1993
Watkins Glen killings,"Watkins Glen, New York",1992-10-15,5,0.0,5.0,Other,50.0,True,True,White,Male,42.3810555,-76.8705777,Mass,1992
Lindhurst High School shooting,"Olivehurst, California",1992-05-01,4,10.0,14.0,School,20.0,False,True,White,Male,39.07868761,-121.5475762,Mass,1992
Royal Oak postal shootings,"Royal Oak, Michigan",1991-11-14,5,5.0,10.0,Workplace,31.0,True,True,White,Male,42.4894801,-83.1446485,Mass,1991
University of Iowa shooting,"Iowa City, Iowa",1991-11-01,6,1.0,7.0,School,28.0,,True,Asian,Male,41.6606893,-91.5302214,Spree,1991
Luby's massacre,"Killeen, Texas",1991-10-16,24,20.0,44.0,Other,35.0,False,True,White,Male,31.1171194,-97.7277959,Mass,1991
GMAC massacre,"Jacksonville, Florida",1990-06-18,10,4.0,14.0,Other,42.0,False,True,Black,Male,30.3321838,-81.655651,Mass,1990
Standard Gravure shooting,"Louisville, Kentucky",1989-09-14,9,12.0,21.0,Workplace,47.0,True,True,White,Male,38.2542376,-85.759407,Mass,1989
Stockton schoolyard shooting,"Stockton, California",1989-01-17,6,29.0,35.0,School,26.0,True,True,White,Male,37.9577016,-121.2907796,Mass,1989
ESL shooting,"Sunnyvale, California",1988-02-16,7,4.0,11.0,Workplace,39.0,True,True,White,Male,37.3688301,-122.0363496,Mass,1988
Shopping centers spree killings,"Palm Bay, Florida",1987-04-23,6,14.0,20.0,Other,59.0,True,True,White,Male,28.0331886,-80.6429695,Spree,1987
United States Postal Service shooting,"Edmond, Oklahoma",1986-08-20,15,6.0,21.0,Workplace,44.0,,True,White,Male,35.6672015,-97.42937037,Mass,1986
San Ysidro McDonald's massacre,"San Ysidro, California",1984-07-18,22,19.0,41.0,Other,41.0,True,True,White,Male,32.5520013,-117.0430813,Mass,1984
Dallas nightclub shooting,"Dallas, Texas",1984-06-29,6,1.0,7.0,Other,39.0,True,False,White,Male,32.925166,-96.838676,Mass,1984
Welding shop shooting,"Miami, Florida",1982-08-20,8,3.0,11.0,Other,51.0,True,True,White,Male,25.796491,-80.226683,Mass,1982
